text,depressive
i need to get a grip on my life bro everything just spiraling and i’m just going w the flow bc i’m tired of tryna fix everything when another problem arises,1
"

this mean w emptyness you got 3 chances to deconstruct a situation . . . 

the three spheres are subject, object and subject-object relationship . . . 

consider, ""i hate john""

i am empty
hate is empty
john is empty 

3 points to deconstruct . . .",1
"i think there is the only death what can let me free from all my own thoughts that killing me slowly right now. i want to disappear, i believe that this world, people or things will go forward even though i don't exist in this place no more.",1
i’m just sick & tired of everything.,1
i just can’t take it anymore.,1
loving halloween and having depression feels so cursed  what do you mean it’s my favorite day/holiday but i feel empty inside,1
"he's doing a bit better now, but as we went to go to bed, ems pulled up next door. my amputee cousin is in septic shock, and going into the icu. what a damn day, on top of an absolutely vile year. i just want a break, even for a second. i'm so tired, and trying so hard in everything i do. damn.

3/3",1
"that’s also why i never feel accomplished
only slightly relieved and empty all at once",1
everything i do for myself gets ruined. nothing fucking matters. i’m just going to stay in bed forever and rot i don’t want to get better for me there is no getting better there is no peace everything going wrong is unrelenting and eternal,1
#they feel sympathy for how empty my life is and i feel sympathy for how crowded out their life is,1
no stream today. i'm not feeling great and going to take the day off to rest and relax a little. i'll see you all tomorrow.,1
ive been bottling it all up ive been suppressing it ive been so normal ive been so good but i can't take it anymore!!!!!!!!! i can't!!!!!!!!!!! i'm sick,1
i’m really tired of going through things and being strong and whatever else i tell myself so i don’t have a mental breakdown about everything. i need next year to be better because i can’t take it. i feel it in my body now and it’s exhausting.,1
"

see if you realised emptyness you'd know there is no separation between self and other and in the atemporal you not have to worry bout if there are or are not future lifes.

this what the mind training does, it loosens the grip of ""i"" ""now"" . . . 

n that prepare for realisation of emptyness.",1
"i used to be a director at my local cbs news station.

after our sunday morning show i used to love sunday morning for the same reason.

i also used to enjoy the sunday political shows but by heart can't take it anymore.",1
why cant i feel anything other than emptyness,1
"i used to be so happy here. now i just feel so ground down that nothing matters anymore. maybe its just the company, maybe its just a sign of the times---maybe a combination of the two. i don't know how to fix myself. 'work to live' is no longer enough--even hobbies are empty -->",1
stopping halfway through the bridge of my tears ricochet and throwing your headphones on the ground bc you can’t take it anymore is extremely valid,1
"argh. just said something excruciatingly embarrassing* in a meeting, then compounded it by trying to dig myself out the hole and only dug deeper.
i want to disappear now.
*it involved an evil excel spreadsheet and wolverine out of the x-men. no please don't ask.",1
"i really want to catch up with everyones posts but i'm still struggling to have the energy to do anything. 

hopefully i'll be back on here properly over the next couple of days, hopefully i don't miss too much. ",1
sometimes i get to feeling so useless with how limited my energy is and then i remember just how many ppl i'm the emergency contact for and realize i'm doing some important shit even if it's not always the most active and obvious shit.,1
"have you ever lost the taste for your favorite food?

i have been feeling that with everything this last week and the emptyness makes to much space for intrusive thoughts to sound loud",1
"i'll try, but i don't want to be here anymore. i've been beat down and mistreated my entire life and now its only going to get worse across the board. i can't afford to go anywhere else, so i'm trapped in a sinking ship with no way off. i'll try, but i so desperately want to end it.",1
"lol, one part i tried to find the meaning.. kept jumping in the the abyss, talking about 'emptyness' (and prevent myself from dying) till i realized that i needed to get into this random monster that followed me .",1
god i just want to be swallowed up by the earth and disappear,1
"goodnight, friends. having an early one tonight because i am not feeling great.",1
that’s it. i give up. nothing matters anymore.,1
"i think its time to end this friendship, i just wanna cry ",1
"cw; self-harm, blood (oil?)

i don't want to be here anymore

but i'm too scared to go

#murderdrones #murderdronescyn",1
"but yeah
if i end up taking everything down from my insta am not gonna move anywhere else
i feel like there isn't much of a point
and i'm tired of this stupid game that's going on",1
i hate myself i want to disappear,1
"i'm so sick and tired of dems trying to be perfect, everything has to be perfect with us, everything!",1
"when you are an empty shell of a person you will do that in order to try to feel something i guess. (i was never an empty enough shell to do it, but…)",1
i honestly wonder if i have a snowball's chance in hell. i don't feel like i do. i'm out of danger for now but i still have zero hope and it's hard to keep going through the motions of life when all reassurance feels empty and you're just waiting for confirmation that your every effort was wasted.,1
"fr, i can't take the pain anymore i feel like at least one important person might still die, my predictions are that it could be ambessa, sevika, maddie or jinx. please let me be wrong bc if jinx or sevika dies i'll lose it ",1
"yeah i’ve looked at driving schools but it’s all so expensive and i have cats so i can’t just leave for even two days.

i also don’t have the japanese skills for non-english courses, and i’m so tired from this bs and everything else, i can’t even study. i’m just sick of it.

japan sucks.",1
"we all feel the same way. today, i feel empty. a sentence should be a punishment. ",1
"i feel like i’ve lost a lot of friends lately bc of this and ngl it makes going through a hard time worse, but i try my best. i might not have the mental capacity right now to reach out or talk every day but its not because i don’t care. sometimes it takes everything to get from one day to the next",1
i thought i remembered it being rough... does it feel empty?,1
"the reality of whatever i have going on medically, which is probably mcas. i inadvertently did everything wrong in the last 36 hours and i’m having the worst flare of my life, so i’m doing a huge pantry and skin care audit. i’m so tired..",1
"at this point, i don't want anything anymore.

usually people associate suicidality with emotion and affect. but i feel incredibly calm. and i don't want to die out of rage at the world or self-loathing.

i just need to disappear. because i want absolutely nothing more from this physical reality.",1
" ʀᴀʙʙɪᴛ ✦

i need to feel something
idc if its angst or not just

aaaaaa anything aside from empty ",1
i don’t want to rest. i want to disappear,1
