indice,text,repostCount,replyCount,link,image,createdAt,depressive
979,"we had a spot of rain and gloom this week so I busted out my favorite fall fragrance for a little bit of hopium... if psl was available then, I would have gone for it.",0,0,0,0,2024-08-23T22:16:51.027Z,0
505,"Well no, we just don't act on such claims without evidence. Respecting truth is a burden that our enemies don't have and we can't afford to lose.",0,1,0,0,2025-01-10T23:17:17.294Z,0
883,"i have literally had a depression diagnosis since july 2015, and not once has a medical professional thought how i interact with depressing/suicidal thoughts as weird or unusual. like that part kindof flabergasts me... i have used depressive spirals/episodes as a descriptor since 2019... the fuck?",0,1,0,0,2025-02-04T12:10:10.284Z,1
2579,may need to do a malcolm in the middle rewatch to keep the depressive thoughts at bay,1,2,0,0,2024-05-27T20:22:19.712Z,0
2787,"Wanna play a game and scratch your creative itch, but only have a short amount of time on your hands? 🤔

Check out this bundle of games that can all be played in a 30 minute lunch break! 😋

All proceeds go to the designers, let’s support indie! 🙌🏼

https://itch.io/b/1989/lunch-break-rpgs",9,0,0,1,2023-08-16T04:40:20.872Z,0
3175,"people DIE you know🦦

might wanna treasure somethin in addition to the perishable, js",0,0,0,0,2025-01-23T15:28:15.301Z,0
862,nan,0,0,0,1,2025-02-24T08:05:30.277Z,0
1967,"When @puplykos.bsky.social asks if he can give you a massage, the answer is ALWAYS yes. Of course, the best part of the massage was when he massaged my dick with his mouth, I didn’t wanna let him up! But as you can see he had no problem… in fact he said he could’ve gone longer!",12,1,0,0,2025-02-22T23:27:32.319Z,0
1873,Food for thought…,3,0,0,1,2024-12-13T17:06:24.516Z,0
843,"Got a depressive episode going on and a 1-on-1 with my manger today, so it's gonna be a shit day.",0,2,0,0,2023-11-30T13:39:34.049Z,0
1688,"In Throes of Increasing Wonder: An Interview With the Vampire Zine by @msclairebiddles.bsky.social is so lushly composed that I'm almost moved to start LARPing the Masquerade. Might go hard enough to get bullied by Garth Ennis, let's see.",2,0,0,1,2024-12-10T11:14:17.746Z,0
1056,"Translation: ‘I was okay with Trump fucking up the lives of people I hate. I’m just mad he’s fucking up my life, too.’ youtu.be/_8hhJzd1ONI",0,0,1,0,2025-02-25T03:00:14.365Z,0
2171,"#SuicidePrevention #Depression #Anxiety #Bullying #Isolation

https://www.vox.com/platform/amp/the-highlight/2019/10/30/20936636/suicide-mental-health-suicidal-thoughts-teens?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com

#PersonalNetworks #SharedFacts",0,0,1,0,2023-07-09T00:10:01Z,0
1539,"It’s my birthday!!!

So share with me some pictures of your lovely selves  looking sexy🔥💦

I love seeing it all
- fursuits
- latex
- pup gear 
- pony gear 
- nothing at all!
You don’t need gear to feel sexy!
But it’s certainly fun!",22,24,0,0,2025-02-08T19:17:35.167Z,0
3337,"*flirting*
Wanna learn modded #Minecraft? 7 Days to Die? Or join my FC in #FFXIV? Or even D&D?",0,0,0,0,2024-10-28T14:59:51.706Z,0
1988,Yesterday I had one the worst depression attacks ⚪️triggering content⚠️ + suіcidal thoughts I haven’t got in a very long time. Not cuz i wanted to go through with it - but cuz sheer existing got so unbearable these thoughts were the only way to decopmpress. almost felt how…,9,27,0,0,2025-02-05T17:35:33.386Z,0
3066,"me, foolishly: I wanna post some of my favorite pieces I've done, and then start a gallery here!
Bluesky: unacceptable. die.",0,2,0,0,2023-07-06T03:45:09.973Z,0
2711,FUKOUNA GIRL FUKOUNA GIIIIRL IF YOU WANNA FLAY ME LETS SEE WHATS INSIDE FUKOUNA GIRL GOODBYE WOOOORLD OH OH CUZ PRETTY GIRLS DESERVE TO DIE ‼️‼️‼️‼️‼️,0,0,0,0,2025-02-23T19:41:07.356Z,0
999,"But little queer Taylor says you can still always come back to my door... but Taylor™️ didn't know if you'd care if I came back, I have a lot of regrets about that... she thought she was ""too far gone to bring back to life""",1,1,0,0,2024-11-15T14:16:18.439Z,0
65,"Increased risk for suicidal thoughts and suicide attempts among adolescents exposed to the early phase of war in Ukraine 😢

#Ukraine #Adolescents #MentalHealth 

www.utu.fi/en/news/pres...",1,0,1,0,2024-05-27T07:18:13.302Z,0
14,the only thing your sister really likes is medicine' my god i'm gonna kms,0,0,0,0,2024-12-01T13:47:58.282Z,0
273,as a honda girlie 4 life this makes me wanna kms :),0,0,1,0,2024-12-18T14:14:52.393Z,0
321,"The amount of online hate for these changes really proves that a lot of you need hobbies, goals, and aspirations in life.

Take the time you spent recording, editing, and posting a HATE video over the Shrek redesign and put it instead to bettering yourself. 

until then you can STAY OUT OF MY SWAMP",0,4,0,0,2025-02-28T18:07:13.185Z,0
2116,"Lots of medications out there that ""may cause suicidal thoughts"" but none that cause homicidal thoughts 🤔#Weird",0,0,0,0,2025-02-14T19:40:40.084Z,0
1261,"37

- Whoa, Kacchan…
- Yeah, what do you want? Looking to die, scum?
- No, I mean, I’m up next so I’m headed to the prep room… And… congrats on your win…",0,0,0,0,2024-12-17T13:30:16.50016100Z,0
1232,Hard words in there for the people who think “reading” is looking over the drive through menu. I hate that I’ve become so cynical but most of my fellow citizens are self-made dumbasses. Welcome to Idiocracy.,0,0,0,0,2025-01-28T19:34:08.565Z,0
376,"never thought I would see 30, finna cry right now just thinkin about it bruh. the hate I had for myself, my life, and to God, if they even exist, was tremendous. it doesn't make me cry anymore but I used to play it on repeat and cry and cry and cry.
open.spotify.com/track/5tz69p...",0,0,1,0,2024-12-11T04:04:28.099Z,0
1531,"Posting proof-of-life between hospital appointments, because I feel like sometimes it's nothing but glossy promo after glossy promo on bookish social media, and it ain't like that. 90% of the people I know are up against it and soldiering on, making beautiful things anyway. Solidarity to you all ♡",1,1,0,0,2025-02-17T11:30:14.185Z,0
1078,"E: This morning felt a little… different.
D: Sorry if I made you feel uncomfortable-
E: No. not at all. It was nice. Just different. A good different.
#WILDFIRE #sims4 #ShowUsYourSims",0,0,0,0,2025-01-22T23:51:01.006Z,0
993,"Then, I wound up getting sent to a nominally ""all boys"" school for all of grades 1-12, so most of my daily social was with boys.

I've often wondered if I'd gone to a non-gendered school, if I'd have socialized with more girls and figured my gender stuff out earlier - but...

🧵",0,1,0,0,2025-02-08T15:42:55.343Z,0
230,[Medium Article] I Used the Power of Artificial Intelligence to Create an Exhaustive List of all the Ways I can Kill Myself.,1,0,0,0,2024-05-31T19:03:34.445Z,0
1661,"New study finds that Latinx Sexual Minority Adolescents with the highest rates of bullying, alcohol, poor grades, and use of electronics are at the highest risk for suicidal thoughts. #AAS365 cc: @youthsuicideres 
https://doi.org/10.1007/s10903-020-01128-w",0,0,1,0,2021-01-07T17:38:06Z,0
2436,That second page shows that she *gets* it she's just horrified by the possibility that her son might be having suicidal thoughts and simply rejects that (admittedly quite slim) possibility.,0,1,0,0,2024-03-03T15:08:33.446Z,0
3042,"I just wanna see a Young Avengers movie/series before I die whatever premature death I'm gonna die, OK?",0,2,0,0,2023-08-18T15:37:32.127Z,0
1662,Me after reading allergy med warning that said: “severe mental health problems have happened with this drug or after it had been stopped… These problems include depression or suicidal thoughts… Watch people who take these drug closely…”,0,1,1,0,2024-11-15T05:03:33.274Z,0
2504,"Journalling is fun because sometimes you dig up memories you forgot about, like how you loved tying knots in Boy Scouts or how you confessed your suicidal thoughts to your mom when you were 8! What a cool and enjoyable hobby!",0,0,0,0,2025-02-20T19:47:45.663Z,0
3254,You guys wanna see what my partner is dealing with right now?,0,0,0,1,2023-11-21T20:11:22.477Z,0
563,"Depression & loneliness can feel like carrying an invisible weight, one that makes even the simplest parts of life feel like a storm. But if you’re sitting in that darkness right now, please know you’re not alone. Someone out there understands. Someone cares. it’s okay to take it breath by breath💙💙💙",2,1,0,0,2025-02-28T15:53:14.408Z,0
2442,"American singer and violinist Emilie Autumn was diagnosed with #Bipolar disorder, previously known as manic depression, is a mood disorder characterized by periods of depression and periods of abnormally-elevated happiness that last from days to weeks each",0,0,0,0,2024-12-10T09:34:58.000Z,0
3282,The face I make when I kill you in tarkov. If you wanna see the face I make when I die (somewhat more common) tune in to twitch.tv/nyxiannox at 9:30 pm mst <3,0,0,0,0,2025-01-11T04:02:52.298Z,0
835,"I would like to feel motivated and passionate about anything at all again

I’ve experienced depressive anhedonia a fair few times throughout my life, but this feels different and I do not like it one bit",0,0,0,0,2024-12-23T08:24:38.182Z,1
1901,"Xebaxyl: medicine for eye redness.

Side effects may include: diarrhea, dizziness, loss of vision, blindness, depression, suicidal thoughts, and possibly death.

Ask your doctor if this medicine or leaping off a fucking cliff is right for you.",0,2,0,0,2024-11-26T04:55:35.400Z,0
488,"CW: Musk, Sweat, Blep
🎨: @spazzbear.bsky.social 

That was....quite a long day at work, and I'm quite tired and ripe.

So why don't you be a gem and pick a spot to give a good spit-shine to? All this musk needs to be cleaned up, and I deserve a good tongue bath ❤️

Go on, don't be shy~
✨🐗✨",37,1,0,1,2025-01-19T00:27:53.323Z,0
493,is there any major difference between the way that regular depression is treated and the way that this depression that occurs in ~50% of people post-heart surgery is treated that i should know about since my mom just had heart surgery? looks like it's just therapy + meds like normal depression?,3,12,0,0,2025-02-28T17:53:31.420Z,0
2518,"Sorry in a depressive stupor over the weekend I decided to watch these horrible movies for the first time* and I have a lot of angry angry angry thoughts

*I saw transformers 1 in the theater and a terrible case of food poisoning emerged during the viewing",0,1,0,0,2025-02-25T04:56:22.308Z,0
788,Like I live life with the assumption that if I disappeared tomorrow no one would notice or care and when that gets challenged by genuine love I crack idk,0,0,0,0,2023-10-18T00:18:28.645Z,1
959,"CAM. I am wondering if they got a new owner, it was so different. Lots of brands seemed fancier and the prices have gone up quite a bit. I was just there last month, so it is very odd.",0,1,0,0,2023-09-14T20:40:39.361Z,0
2848,"The nurse: ""Can I ask why you're wearing a mask? I just was wondering if you're sick""

Um yes ma'am. I'm beyond sick of being tainted by the very breath of brain worm loving magats and I don't wanna die from bird flu or whatever tf else is circulating""

Nurse: ""Enough said""",0,0,0,0,2025-02-27T17:32:22.045Z,0
1722,if you see this post a smiling oc 😈,1,0,0,1,2025-02-27T19:19:48.289Z,0
585,"I ALSO get into my head really fast, so if i do reach out and it takes them a while to respond or they just leave me on read then I've convinced myself that they actually hate me so I'll just never bother them again hahahaha ha",0,1,0,0,2024-04-21T02:07:25.091Z,0
957,"Sketch for a Return of the Jedi illustration. Pencil on bristol board, 2023.",3,1,0,1,2025-02-18T01:15:57.809Z,0
2362,"A “mental health tsunami” is affecting kids and teens. And research shows a correlation between the Internet, social media and an increase among children for suicidal thoughts and other health-related concerns, experts say.
www.govtech.com/health/flori...",0,0,1,0,2024-02-07T00:11:14.508Z,0
2584,"All I can think about in terms of that is cynical depressive thoughts because the bullshit system we live under won’t allow me to afford or have the opportunity to do this. 

I’m sorry but I don’t believe I can unless a lot of shit in this country changes.",0,0,0,0,2023-11-18T03:13:35.843Z,0
2466,"I was diagnosed with #depression in 2014 and #adhd in 2021. Those two have severely impacted my life and and still continue to do so. Depression is getting better, but I'm still struggling with the adhd bit. Propably will for the rest of my life, but at least it has a name now. #mentalillness",0,0,0,0,2023-11-15T14:46:54.459Z,0
